,ExperimentName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,ScenarioIndex,ShockType,VAS_score,VAS_type,VAS_RT
0,FORT,2,1,1776625433.396702,8.78,Game,1,Predictable,0.05,0,,,,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.82,Game,1,Predictable,0.05,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.84,Game,1,Predictable,0.1,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.86,Game,1,Predictable,0.12,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.86,Game,1,Predictable,0.13,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.87,Game,1,Predictable,0.14,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.88,Game,1,Predictable,0.15,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.89,Game,1,Predictable,0.15,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.89,Game,1,Predictable,0.16,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.91,Game,1,Predictable,0.17,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.91,Game,1,Predictable,0.18,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.92,Game,1,Predictable,0.19,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.93,Game,1,Predictable,0.2,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.94,Game,1,Predictable,0.2,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.94,Game,1,Predictable,0.21,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.96,Game,1,Predictable,0.22,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.96,Game,1,Predictable,0.23,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.97,Game,1,Predictable,0.24,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.98,Game,1,Predictable,0.25,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.99,Game,1,Predictable,0.25,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,8.99,Game,1,Predictable,0.26,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.01,Game,1,Predictable,0.27,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.01,Game,1,Predictable,0.28,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.02,Game,1,Predictable,0.29,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.03,Game,1,Predictable,0.3,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.04,Game,1,Predictable,0.3,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.04,Game,1,Predictable,0.31,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.06,Game,1,Predictable,0.32,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.06,Game,1,Predictable,0.33,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.07,Game,1,Predictable,0.34,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.08,Game,1,Predictable,0.35,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.09,Game,1,Predictable,0.35,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.09,Game,1,Predictable,0.36,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.11,Game,1,Predictable,0.37,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.11,Game,1,Predictable,0.38,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.12,Game,1,Predictable,0.39,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.13,Game,1,Predictable,0.4,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.14,Game,1,Predictable,0.4,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.14,Game,1,Predictable,0.41,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.16,Game,1,Predictable,0.42,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.16,Game,1,Predictable,0.43,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.17,Game,1,Predictable,0.44,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.18,Game,1,Predictable,0.45,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.19,Game,1,Predictable,0.45,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.19,Game,1,Predictable,0.46,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.21,Game,1,Predictable,0.47,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.21,Game,1,Predictable,0.48,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.22,Game,1,Predictable,0.49,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.23,Game,1,Predictable,0.5,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.24,Game,1,Predictable,0.5,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.24,Game,1,Predictable,0.51,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.26,Game,1,Predictable,0.52,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.26,Game,1,Predictable,0.53,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.27,Game,1,Predictable,0.54,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.28,Game,1,Predictable,0.55,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.29,Game,1,Predictable,0.55,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.29,Game,1,Predictable,0.56,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.31,Game,1,Predictable,0.57,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.31,Game,1,Predictable,0.58,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.33,Game,1,Predictable,0.59,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.34,Game,1,Predictable,0.6,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.35,Game,1,Predictable,0.61,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.36,Game,1,Predictable,0.62,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.36,Game,1,Predictable,0.63,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.37,Game,1,Predictable,0.64,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.38,Game,1,Predictable,0.65,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.39,Game,1,Predictable,0.65,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.4,Game,1,Predictable,0.66,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.41,Game,1,Predictable,0.67,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.41,Game,1,Predictable,0.68,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,9.42,Game,1,Predictable,0.69,0,,,5,,,130,Sound,,,
