,ExperimentName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,ScenarioIndex,ShockType,VAS_score,VAS_type,VAS_RT
0,FORT,2,1,1777026232.302281,0.0,Start,,,,,,,,,,,Sound,,,
0,FORT,2,1,1777026232.302281,45.07,Game,1,Predictable,0.0,,,,,,,110,Sound,,,
0,FORT,2,1,1777026232.302281,45.17,Game,1,Predictable,0.09,0,,,,,,130,Sound,,,
0,FORT,2,1,1777026232.302281,49.09,Game,1,Predictable,4.02,0,1,,5,,,131,Sound,,,
0,FORT,2,1,1777026232.302281,74.14,Game,1,Predictable,29.07,1,,,5,29.07,,120,Sound,,,
0,FORT,2,1,1777026232.302281,75.78,Game,1,Predictable,30.71,1,1,,5,29.07,,121,Sound,,,
0,FORT,2,1,1777026232.302281,81.37,Game,1,Predictable,36.3,1,,1,5,29.07,,122,Sound,,,
0,FORT,2,1,1777026232.302281,86.1,Game,1,Predictable,41.02,1,,,5,29.07,41.02,120,Sound,,,
0,FORT,2,1,1777026232.302281,86.17,Game,1,Predictable,41.1,0,,,5,,,130,Sound,,,
0,FORT,2,1,1777026232.302281,93.09,Game,1,Predictable,48.01,0,1,,5,,,131,Sound,,,
0,FORT,2,1,1777026232.302281,101.14,Game,1,Predictable,56.06,1,,,5,56.06,,120,Sound,,,
0,FORT,2,1,1777026232.302281,104.59,Game,1,Predictable,59.51,1,1,,5,56.06,,121,Sound,,,
0,FORT,2,1,1777026232.302281,113.1,Game,1,Predictable,68.03,1,,,5,56.06,68.03,120,Sound,,,
0,FORT,2,1,1777026232.302281,113.16,Game,1,Predictable,68.08,0,,,5,,,130,Sound,,,
0,FORT,2,1,1777026232.302281,130.15,Game,1,Predictable,85.07,1,,,3,85.07,,120,Sound,,,
0,FORT,2,1,1777026232.302281,139.66,Game,1,Predictable,94.58,1,1,,3,85.07,,121,Sound,,,
0,FORT,2,1,1777026232.302281,142.1,Game,1,Predictable,97.03,1,,,3,85.07,97.03,120,Sound,,,
0,FORT,2,1,1777026232.302281,142.2,Game,1,Predictable,97.12,0,,,3,,,130,Sound,,,
0,FORT,2,1,1777026232.302281,163.1,Game,1,Predictable,118.02,0,1,,4,,,131,Sound,,,
