,ExperimentName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,ScenarioIndex,ShockType,VAS_score,VAS_type,VAS_RT
0,FORT,,1,1776624322.0544572,9.25,Game,1,Predictable,0.06,0,,,,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.29,Game,1,Predictable,0.06,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.29,Game,1,Predictable,0.09,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.3,Game,1,Predictable,0.1,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.32,Game,1,Predictable,0.11,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.32,Game,1,Predictable,0.12,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.33,Game,1,Predictable,0.13,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.34,Game,1,Predictable,0.14,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.35,Game,1,Predictable,0.15,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.36,Game,1,Predictable,0.16,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.37,Game,1,Predictable,0.16,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.37,Game,1,Predictable,0.17,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.38,Game,1,Predictable,0.18,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.39,Game,1,Predictable,0.19,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.4,Game,1,Predictable,0.2,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.41,Game,1,Predictable,0.21,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.43,Game,1,Predictable,0.21,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.44,Game,1,Predictable,0.24,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.45,Game,1,Predictable,0.25,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.46,Game,1,Predictable,0.26,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.47,Game,1,Predictable,0.26,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.47,Game,1,Predictable,0.27,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.48,Game,1,Predictable,0.28,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.49,Game,1,Predictable,0.29,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.5,Game,1,Predictable,0.3,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.51,Game,1,Predictable,0.31,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.52,Game,1,Predictable,0.31,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.52,Game,1,Predictable,0.32,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.53,Game,1,Predictable,0.33,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.54,Game,1,Predictable,0.34,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.55,Game,1,Predictable,0.35,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.56,Game,1,Predictable,0.36,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.57,Game,1,Predictable,0.36,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.57,Game,1,Predictable,0.37,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.58,Game,1,Predictable,0.38,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.59,Game,1,Predictable,0.39,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.6,Game,1,Predictable,0.4,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.61,Game,1,Predictable,0.41,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.62,Game,1,Predictable,0.41,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.62,Game,1,Predictable,0.42,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.63,Game,1,Predictable,0.43,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.64,Game,1,Predictable,0.44,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.65,Game,1,Predictable,0.45,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.66,Game,1,Predictable,0.46,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.67,Game,1,Predictable,0.46,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.67,Game,1,Predictable,0.47,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.68,Game,1,Predictable,0.48,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.69,Game,1,Predictable,0.49,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.7,Game,1,Predictable,0.5,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.71,Game,1,Predictable,0.51,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.72,Game,1,Predictable,0.51,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.72,Game,1,Predictable,0.52,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.73,Game,1,Predictable,0.53,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.74,Game,1,Predictable,0.54,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.75,Game,1,Predictable,0.55,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.76,Game,1,Predictable,0.56,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.77,Game,1,Predictable,0.56,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.77,Game,1,Predictable,0.57,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.78,Game,1,Predictable,0.58,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.79,Game,1,Predictable,0.59,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.8,Game,1,Predictable,0.6,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.81,Game,1,Predictable,0.61,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.82,Game,1,Predictable,0.61,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.82,Game,1,Predictable,0.62,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.83,Game,1,Predictable,0.63,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.84,Game,1,Predictable,0.64,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,9.85,Game,1,Predictable,0.65,0,,,5,,,130,Sound,,,
