,ExperimentName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,ScenarioIndex,ShockType,VAS_score,VAS_type,VAS_RT
0,FORT,,1,1777027679.8876119,9.61,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,9.66,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,9.71,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,9.76,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,9.81,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,9.87,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,9.92,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,9.97,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.02,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.07,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.12,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.17,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.22,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.28,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.33,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.38,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.43,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.48,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.53,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.58,Instructions,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,10.64,Instructions,,,,,,,,,,,Sound,,,
