,ExperimentName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,ScenarioIndex,ShockType,VAS_score,VAS_type,VAS_RT
0,FORT,,1,1776624322.0544572,0.0,Start,,,,,,,,,,,Sound,,,
0,FORT,,1,1776624322.0544572,9.19,Game,1,Predictable,0.0,,,,,,,110,Sound,,,
0,FORT,,1,1776624322.0544572,9.25,Game,1,Predictable,0.06,0,,,,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,26.27,Game,1,Predictable,17.08,1,,,7,17.08,,120,Sound,,,
0,FORT,,1,1776624322.0544572,29.02,Game,1,Predictable,19.82,1,1,,7,17.08,,121,Sound,,,
0,FORT,,1,1776624322.0544572,33.41,Game,1,Predictable,24.22,1,,1,7,17.08,,122,Sound,,,
0,FORT,,1,1776624322.0544572,38.2,Game,1,Predictable,29.01,1,,,5,17.08,29.01,120,Sound,,,
0,FORT,,1,1776624322.0544572,38.27,Game,1,Predictable,29.08,0,,,5,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,43.2,Game,1,Predictable,34.01,0,1,,9,,,131,Sound,,,
0,FORT,,1,1776624322.0544572,69.2,Game,1,Predictable,60.0,0,1,,9,,,131,Sound,,,
0,FORT,,1,1776624322.0544572,70.31,Game,1,Predictable,61.12,1,,,9,61.12,,120,Sound,,,
0,FORT,,1,1776624322.0544572,78.07,Game,1,Predictable,68.87,1,1,,9,61.12,,121,Sound,,,
0,FORT,,1,1776624322.0544572,82.22,Game,1,Predictable,73.02,1,,,9,61.12,73.02,120,Sound,,,
0,FORT,,1,1776624322.0544572,82.27,Game,1,Predictable,73.07,0,,,9,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,101.31,Game,1,Predictable,92.11,1,,,9,92.11,,120,Sound,,,
0,FORT,,1,1776624322.0544572,103.41,Game,1,Predictable,94.22,1,1,,7,92.11,,121,Sound,,,
0,FORT,,1,1776624322.0544572,113.21,Game,1,Predictable,104.02,1,,,7,92.11,104.02,120,Sound,,,
0,FORT,,1,1776624322.0544572,113.29,Game,1,Predictable,104.1,0,,,7,,,130,Sound,,,
0,FORT,,1,1776624322.0544572,116.2,Game,1,Predictable,107.01,0,1,,7,,,131,Sound,,,
