,ExperimentName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,ScenarioIndex,ShockType,VAS_score,VAS_type,VAS_RT
0,FORT,,1,1777027679.8876119,0.0,Start,,,,,,,,,,,Sound,,,
0,FORT,,1,1777027679.8876119,66.74,Game,1,Predictable,0.0,,,,,,,110,Sound,,,
0,FORT,,1,1777027679.8876119,66.79,Game,1,Predictable,0.05,0,,,,,,130,Sound,,,
0,FORT,,1,1777027679.8876119,89.76,Game,1,Predictable,23.02,0,1,,3,,,131,Sound,,,
0,FORT,,1,1777027679.8876119,92.83,Game,1,Predictable,26.09,1,,,3,26.09,,120,Sound,,,
0,FORT,,1,1777027679.8876119,103.22,Game,1,Predictable,36.47,1,1,,3,26.09,,121,Sound,,,
0,FORT,,1,1777027679.8876119,104.77,Game,1,Predictable,38.03,1,,,3,26.09,38.03,120,Sound,,,
0,FORT,,1,1777027679.8876119,104.82,Game,1,Predictable,38.08,0,,,3,,,130,Sound,,,
0,FORT,,1,1777027679.8876119,123.76,Game,1,Predictable,57.02,0,1,,3,,,131,Sound,,,
0,FORT,,1,1777027679.8876119,125.81,Game,1,Predictable,59.07,1,,,3,59.07,,120,Sound,,,
0,FORT,,1,1777027679.8876119,131.44,Game,1,Predictable,64.7,1,1,,3,59.07,,121,Sound,,,
0,FORT,,1,1777027679.8876119,137.77,Game,1,Predictable,71.03,1,,,3,59.07,71.03,120,Sound,,,
0,FORT,,1,1777027679.8876119,137.84,Game,1,Predictable,71.1,0,,,3,,,130,Sound,,,
0,FORT,,1,1777027679.8876119,151.83,Game,1,Predictable,85.09,1,,,3,85.09,,120,Sound,,,
0,FORT,,1,1777027679.8876119,154.51,Game,1,Predictable,87.77,1,1,,3,85.09,,121,Sound,,,
0,FORT,,1,1777027679.8876119,158.11,Game,1,Predictable,91.37,1,,1,3,85.09,,122,Sound,,,
0,FORT,,1,1777027679.8876119,163.75,Game,1,Predictable,97.01,1,,,3,85.09,97.01,120,Sound,,,
0,FORT,,1,1777027679.8876119,163.83,Game,1,Predictable,97.09,0,,,3,,,130,Sound,,,
0,FORT,,1,1777027679.8876119,167.76,Game,1,Predictable,101.02,0,1,,3,,,131,Sound,,,
